OrtCode;Ortsname;GesamtWahlberechtigte;Partei;StimmenFuerPartei
G10000;Aalfang;7000;GRÜNE;2000
G10101;Eisenstadt;10800;ÖVP;2500
G10101;Eisenstadt;10800;SPÖ;1366
G10101;Eisenstadt;10800;FPÖ;966
G10101;Eisenstadt;10800;GRÜNE;790
G10101;Eisenstadt;10800;NEOS;485
G10101;Eisenstadt;10800;KPÖ;31
G10101;Eisenstadt;10800;EUROPA;53
G10199;Wahlkarten - Eisenstadt Stadt;0;ÖVP;405
G10199;Wahlkarten - Eisenstadt Stadt;0;SPÖ;249
G10199;Wahlkarten - Eisenstadt Stadt;0;FPÖ;88
G10199;Wahlkarten - Eisenstadt Stadt;0;GRÜNE;173
G10199;Wahlkarten - Eisenstadt Stadt;0;NEOS;103
G10199;Wahlkarten - Eisenstadt Stadt;0;KPÖ;6
G10199;Wahlkarten - Eisenstadt Stadt;0;EUROPA;10
G10201;Rust;1597;ÖVP;336
G10201;Rust;1597;SPÖ;287
G10201;Rust;1597;FPÖ;175
G10201;Rust;1597;GRÜNE;62
G10201;Rust;1597;NEOS;53
G10201;Rust;1597;KPÖ;9
G10201;Rust;1597;EUROPA;8
G10299;Wahlkarten - Rust Stadt;0;ÖVP;38
G10299;Wahlkarten - Rust Stadt;0;SPÖ;51
G10299;Wahlkarten - Rust Stadt;0;FPÖ;26
G10299;Wahlkarten - Rust Stadt;0;GRÜNE;39
G10299;Wahlkarten - Rust Stadt;0;NEOS;8
G10299;Wahlkarten - Rust Stadt;0;KPÖ;3
G10299;Wahlkarten - Rust Stadt;0;EUROPA;0
G10301;Breitenbrunn am Neusiedler See;1611;ÖVP;324
G10301;Breitenbrunn am Neusiedler See;1611;SPÖ;330
G10301;Breitenbrunn am Neusiedler See;1611;FPÖ;159
G10301;Breitenbrunn am Neusiedler See;1611;GRÜNE;113
G10301;Breitenbrunn am Neusiedler See;1611;NEOS;63
G10301;Breitenbrunn am Neusiedler See;1611;KPÖ;4
G10301;Breitenbrunn am Neusiedler See;1611;EUROPA;5
G10302;Donnerskirchen;1533;ÖVP;412
G10302;Donnerskirchen;1533;SPÖ;246
G10302;Donnerskirchen;1533;FPÖ;149
G10302;Donnerskirchen;1533;GRÜNE;71
G10302;Donnerskirchen;1533;NEOS;37
G10302;Donnerskirchen;1533;KPÖ;1
G10302;Donnerskirchen;1533;EUROPA;3
G10303;Großhöflein;1697;ÖVP;373
G10303;Großhöflein;1697;SPÖ;254
G10303;Großhöflein;1697;FPÖ;186
G10303;Großhöflein;1697;GRÜNE;63
G10303;Großhöflein;1697;NEOS;52
G10303;Großhöflein;1697;KPÖ;5
G10303;Großhöflein;1697;EUROPA;6
G10304;Hornstein;2385;ÖVP;393
G10304;Hornstein;2385;SPÖ;520
G10304;Hornstein;2385;FPÖ;242
G10304;Hornstein;2385;GRÜNE;123
G10304;Hornstein;2385;NEOS;89
G10304;Hornstein;2385;KPÖ;9
G10304;Hornstein;2385;EUROPA;8
G10305;Klingenbach;903;ÖVP;175
G10305;Klingenbach;903;SPÖ;291
G10305;Klingenbach;903;FPÖ;58
G10305;Klingenbach;903;GRÜNE;26
G10305;Klingenbach;903;NEOS;14
G10305;Klingenbach;903;KPÖ;1
G10305;Klingenbach;903;EUROPA;5
G10306;Leithaprodersdorf;964;ÖVP;388
G10306;Leithaprodersdorf;964;SPÖ;107
G10306;Leithaprodersdorf;964;FPÖ;77
G10306;Leithaprodersdorf;964;GRÜNE;50
G10306;Leithaprodersdorf;964;NEOS;35
G10306;Leithaprodersdorf;964;KPÖ;0
G10306;Leithaprodersdorf;964;EUROPA;4
G10307;Mörbisch am See;1846;ÖVP;326
G10307;Mörbisch am See;1846;SPÖ;416
G10307;Mörbisch am See;1846;FPÖ;216
G10307;Mörbisch am See;1846;GRÜNE;71
G10307;Mörbisch am See;1846;NEOS;46
G10307;Mörbisch am See;1846;KPÖ;4
G10307;Mörbisch am See;1846;EUROPA;9
G10308;Müllendorf;1143;ÖVP;234
